date,team1,team2,score1,score2
17.07.1993,Гомсельмаш,Ведрич Речица,2,0
17.07.1993,Фандок Бобруйск,Неман Гродно,0,0
17.07.1993,Днепр Могилёв,Шинник Бобруйск,0,2
17.07.1993,Динамо Брест,Динамо-93 Минск,0,1
17.07.1993,Шахтер Солигорск,Строитель Старые Дороги,3,0
17.07.1993,Локомотив Витебск,Молодечно,1,0
17.07.1993,Торпедо Минск,Динамо Минск,1,2
18.07.1993,Торпедо Могилев,КИМ Витебск,0,0
23.07.1993,Динамо-93 Минск,Фандок Бобруйск,0,0
24.07.1993,КИМ Витебск,Динамо Брест,3,0
24.07.1993,Шинник Бобруйск,Локомотив Витебск,1,0
24.07.1993,Строитель Старые Дороги,Гомсельмаш,2,1
24.07.1993,Молодечно,Шахтер Солигорск,1,0
24.07.1993,Неман Гродно,Днепр Могилёв,0,2
24.07.1993,Динамо Минск,Торпедо Могилев,2,0
24.07.1993,Ведрич Речица,Торпедо Минск,2,0
29.07.1993,Фандок Бобруйск,Молодечно,0,1
29.07.1993,КИМ Витебск,Шинник Бобруйск,1,0
29.07.1993,Торпедо Могилев,Шахтер Солигорск,1,1
29.07.1993,Динамо-93 Минск,Динамо Минск,4,1
29.07.1993,Динамо Брест,Локомотив Витебск,0,0
29.07.1993,Днепр Могилёв,Строитель Старые Дороги,3,0
29.07.1993,Торпедо Минск,Гомсельмаш,1,1
29.07.1993,Неман Гродно,Ведрич Речица,0,0
06.08.1993,Торпедо Могилев,Неман Гродно,2,0
06.08.1993,Шахтер Солигорск,Динамо Минск,0,3
06.08.1993,Гомсельмаш,КИМ Витебск,1,2
06.08.1993,Фандок Бобруйск,Шинник Бобруйск,1,0
06.08.1993,Молодечно,Строитель Старые Дороги,4,1
06.08.1993,Динамо Брест,Днепр Могилёв,1,3
06.08.1993,Локомотив Витебск,Ведрич Речица,0,2
06.08.1993,Торпедо Минск,Динамо-93 Минск,0,2
16.08.1993,Динамо-93 Минск,Торпедо Могилев,1,0
17.08.1993,КИМ Витебск,Торпедо Минск,0,1
17.08.1993,Ведрич Речица,Шахтер Солигорск,1,1
17.08.1993,Шинник Бобруйск,Молодечно,1,2
17.08.1993,Днепр Могилёв,Фандок Бобруйск,1,0
17.08.1993,Динамо Минск,Гомсельмаш,3,2
