date,team1,team2,score1,score2
02.04.2011,Нафтан Новополоцк,Гомель,1,1
02.04.2011,Динамо Минск,Белшина Бобруйск,3,1
02.04.2011,Торпедо-БелАЗ,Шахтер Солигорск,1,0
02.04.2011,Днепр Могилев,Минск,0,2
02.04.2011,БАТЭ Борисов,Неман Гродно,1,1
02.04.2011,Динамо Брест,Витебск,3,0
06.04.2011,БАТЭ Борисов,Нафтан Новополоцк,1,0
06.04.2011,Витебск,Торпедо-БелАЗ,1,1
06.04.2011,Неман Гродно,Шахтер Солигорск,0,1
06.04.2011,Минск,Динамо Минск,0,0
06.04.2011,Гомель,Днепр Могилев,2,1
06.04.2011,Белшина Бобруйск,Динамо Брест,1,1
10.04.2011,Динамо Брест,Минск,2,2
10.04.2011,Торпедо-БелАЗ,Белшина Бобруйск,0,1
10.04.2011,Динамо Минск,Гомель,0,0
10.04.2011,Днепр Могилев,БАТЭ Борисов,1,1
10.04.2011,Нафтан Новополоцк,Неман Гродно,1,2
10.04.2011,Шахтер Солигорск,Витебск,1,0
15.04.2011,Минск,Торпедо-БелАЗ,0,1
15.04.2011,Нафтан Новополоцк,Днепр Могилев,6,0
15.04.2011,БАТЭ Борисов,Динамо Минск,1,0
15.04.2011,Гомель,Динамо Брест,2,0
15.04.2011,Белшина Бобруйск,Шахтер Солигорск,2,0
15.04.2011,Неман Гродно,Витебск,0,1
19.04.2011,Торпедо-БелАЗ,Гомель,1,1
19.04.2011,Витебск,Белшина Бобруйск,0,1
19.04.2011,Днепр Могилев,Неман Гродно,1,1
19.04.2011,Динамо Минск,Нафтан Новополоцк,0,1
19.04.2011,Динамо Брест,БАТЭ Борисов,0,3
19.04.2011,Шахтер Солигорск,Минск,1,0
23.04.2011,Гомель,Шахтер Солигорск,0,0
23.04.2011,Минск,Витебск,1,3
23.04.2011,БАТЭ Борисов,Торпедо-БелАЗ,1,0
23.04.2011,Нафтан Новополоцк,Динамо Брест,1,1
23.04.2011,Неман Гродно,Белшина Бобруйск,2,0
23.04.2011,Днепр Могилев,Динамо Минск,0,1
30.04.2011,Торпедо-БелАЗ,Нафтан Новополоцк,3,2
30.04.2011,Динамо Минск,Неман Гродно,0,1
30.04.2011,Шахтер Солигорск,БАТЭ Борисов,0,2
30.04.2011,Витебск,Гомель,1,0
30.04.2011,Динамо Брест,Днепр Могилев,2,0
30.04.2011,Белшина Бобруйск,Минск,2,2
07.05.2011,Нафтан Новополоцк,Шахтер Солигорск,1,1
07.05.2011,БАТЭ Борисов,Витебск,4,1
07.05.2011,Гомель,Белшина Бобруйск,3,1
07.05.2011,Динамо Минск,Динамо Брест,1,1
07.05.2011,Днепр Могилев,Торпедо-БелАЗ,3,1
07.05.2011,Неман Гродно,Минск,0,1
11.05.2011,Минск,Гомель,2,1
11.05.2011,Белшина Бобруйск,БАТЭ Борисов,0,2
11.05.2011,Торпедо-БелАЗ,Динамо Минск,1,0
11.05.2011,Шахтер Солигорск,Днепр Могилев,2,2
11.05.2011,Динамо Брест,Неман Гродно,1,1
11.05.2011,Витебск,Нафтан Новополоцк,0,1
15.05.2011,Динамо Брест,Торпедо-БелАЗ,1,3
15.05.2011,Днепр Могилев,Витебск,0,0
15.05.2011,Неман Гродно,Гомель,0,0
15.05.2011,Динамо Минск,Шахтер Солигорск,0,2
15.05.2011,Нафтан Новополоцк,Белшина Бобруйск,1,0
15.05.2011,БАТЭ Борисов,Минск,1,1
21.05.2011,Гомель,БАТЭ Борисов,0,0
21.05.2011,Белшина Бобруйск,Днепр Могилев,2,2
21.05.2011,Торпедо-БелАЗ,Неман Гродно,2,2
21.05.2011,Витебск,Динамо Минск,1,3
21.05.2011,Минск,Нафтан Новополоцк,1,3
21.05.2011,Шахтер Солигорск,Динамо Брест,2,0
25.05.2011,Неман Гродно,БАТЭ Борисов,0,3
25.05.2011,Гомель,Нафтан Новополоцк,0,1
27.05.2011,Витебск,Динамо Брест,2,1
27.05.2011,Минск,Днепр Могилев,1,3
27.05.2011,Белшина Бобруйск,Динамо Минск,2,3
27.05.2011,Шахтер Солигорск,Торпедо-БелАЗ,1,0
12.06.2011,Динамо Брест,Белшина Бобруйск,1,4
12.06.2011,Шахтер Солигорск,Неман Гродно,5,0
12.06.2011,Днепр Могилев,Гомель,0,0
12.06.2011,Динамо Минск,Минск,1,2
12.06.2011,Торпедо-БелАЗ,Витебск,0,3
12.06.2011,Нафтан Новополоцк,БАТЭ Борисов,0,2
19.06.2011,БАТЭ Борисов,Днепр Могилев,5,0
19.06.2011,Белшина Бобруйск,Торпедо-БелАЗ,2,2
19.06.2011,Гомель,Динамо Минск,5,1
